conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,88E+18;Mon Jan 06 07:11:10 +0000 2025;0;Dirjen Dukcapil Tegaskan Pentingnya Efisiensi Anggaran pada Rapat Awal Tahun 2025 https://t.co/kermTDAH7X;1,88E+18;;;in;;0;0;0;https://x.com/nirmedia_/status/1876164591157403949;1,71E+18;nirmedia_
1,88E+18;Mon Jan 06 06:55:31 +0000 2025;2;Dirjen Dukcapil Tegaskan Pentingnya Efisiensi Anggaran pada Rapat Awal Tahun 2025 https://t.co/BZUqBCJk4f #suryapos #suryaTV;1,88E+18;;;in;;0;0;0;https://x.com/idsuryapos/status/1876160650923405479;1,33E+18;idsuryapos
1,88E+18;Mon Jan 06 06:42:59 +0000 2025;1;efisiensi anggaran pelaksanaan perjanjian kinerja berjenjang serta program yang berdampak langsung pada kesejahteraan masyarakat menjadi fokus utama kemenko Kumham Imipas Tahun ini. #KumhamNTB #KemenkumhamNTB #Parlindungan #KanwilKemenkumhamNTB @KumhamNTB #imigrasi https://t.co/VfWpMIBSvd;1,88E+18;https://pbs.twimg.com/media/GglzN3dbsAEs7xN.jpg;imigrasi_bima;in;;0;0;0;https://x.com/imigrasi_bima/status/1876157496228028833;1,03E+18;imigrasi_bima
1,88E+18;Mon Jan 06 04:55:50 +0000 2025;0;4. Melakukan efisiensi dalam pengunaan anggaran dan tidak ada Mark Up/penggelembungan anggaran yang tidak perlu;;;;;;;;;;;
1,88E+18;Mon Jan 06 04:47:28 +0000 2025;0;5/ Amanat beliau juga mencakup efisiensi anggaran evaluasi kinerja dan program berdampak positif pada kesejahteraan masyarakat. Kolaborasi dan pengawasan menjadi kunci menuju tujuan besar Indonesia Emas 2045.;1,88E+18;;lapaskediri;in;;0;0;0;https://x.com/lapaskediri/status/1876128428849811896;1,57E+18;lapaskediri
1,88E+18;Mon Jan 06 04:21:43 +0000 2025;0;4. Melakukan Efisiensi dalam penggunaan anggaran dan tidak ada mark-up atau penggelembungan anggaran;;;;;;;;;;;
1,88E+18;Mon Jan 06 04:02:21 +0000 2025;0;4. Melakukan efisiensi dalam penggunaan anggaran dan tidak ada mark-up atau penggelumbungan anggaran yang tidak perlu;;;;;;;;;;;
1,88E+18;Mon Jan 06 03:58:23 +0000 2025;0;Cita dan 17 program nasional Melalui kerja keras dan komitmen bersama kita harus mampu menyusun rencana strategis yang implementatif melaksanakan perjanjian kinerja secara berjenjang serta mengutamakan efisiensi anggaran. Semua langkah ini akan membawa kita menuju Indonesia;1,88E+18;;RupbasanDps;in;;0;1;0;https://x.com/RupbasanDps/status/1876116073730478546;1,28E+18;RupbasanDps
1,88E+18;Mon Jan 06 03:19:41 +0000 2025;0;Renstra ini diharapkan dapat mendukung pencapaian 8 Misi Asta Cita Program Prioritas Nasional dan Program Terbaik Cepat yang telah ditetapkan pemerintah dengan hasil yang konkret dan terukur. Selain itu Menteri Koordinator menekankan pentingnya efisiensi anggaran di mana;1,88E+18;;Bapasjemberoff2;in;;0;1;0;https://x.com/Bapasjemberoff2/status/1876106336481787911;1,28E+18;Bapasjemberoff2
1,88E+18;Mon Jan 06 03:02:39 +0000 2025;0;3. Melaksanakan Perjanjian Kinerja secara berjenjang oleh setiap Pejabat Manajerial sebagai pengampu kegiatan;;;;;;;;;;;
